skeptycal/strip_cr		public	2019-04-03T06:39:57Z
skeptycal/stub		private	2021-04-19T16:15:34Z
skeptycal/tabnine-vim		public	2021-03-15T02:20:45Z
skeptycal/teacher_desk	Handy tools for the teacher's desk.	public	2021-07-13T09:37:04Z
skeptycal/temp		public	2020-05-15T13:27:03Z
skeptycal/template	Project setup template	public	2021-07-13T14:44:52Z
skeptycal/test		public	2020-06-28T17:10:24Z
skeptycal/text_colors	The obligatory ANSI text colors implementation.	public	2020-07-31T16:01:00Z
skeptycal/textcolors	ANSI text colors	public	2021-04-20T18:36:33Z
skeptycal/timebandit	desc	public	2020-08-29T23:01:28Z
skeptycal/todo		public	2021-03-16T14:13:51Z
skeptycal/tos		public	2021-11-06T09:10:23Z
skeptycal/tree		public	2020-12-10T07:32:16Z
skeptycal/user_bin_dir_repo		public	2020-11-13T12:06:57Z
skeptycal/util	Go utilities for macOS. These are mostly experiments and personal productivity utilities ... not guaranteed to be stable or usable for anything!	public	2021-04-10T23:13:27Z
skeptycal/vscode-django		public	2020-04-15T23:37:37Z
skeptycal/vscode_darktheme	My dark mode theme for VS Code	public	2018-12-08T04:31:52Z
skeptycal/zeta		public	2021-10-17T16:11:55Z
skeptycal/zsh	Zsh command-line utilities from within Go.	public	2021-04-14T22:12:00Z
